Branch_Id,Loan_Id,Region_Name,State_Name,City_Name,Employment_Type,Region_ID,State_Code,City_Code,Postal_Code,Date_of_Birth,DisbursalDate,MobileNo_Avl_Flag,Aadhar_flag,PAN_flag,VoterID_flag,Driving_flag,Passport_flag,CREDIT.HISTORY.LENGTH,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,Disbursed_Amount,Asset_Cost,ltv,PERFORM_CNS.SCORE,NO.OF_INQUIRIES,Loan_Default
64,194,South,Andhra Pradesh,Nellore,Salaried,R2,ST01,CT25,524225,01-01-1993,08-08-2018,1,1,0,0,0,0,0yrs 0mon,0,57213,71957,83.38,0,0,1
64,2285,South,Andhra Pradesh,Nellore,Salaried,R2,ST01,CT25,524225,15-05-1995,25-10-2018,1,1,0,0,0,0,3yrs 3mon,0,45659,85309,57.44,738,0,0
64,4485,South,Andhra Pradesh,Nellore,Self employed,R2,ST01,CT25,524225,01-01-1987,07-09-2018,1,1,0,0,0,0,0yrs 0mon,0,56759,76843,74.83,0,0,0
64,14129,South,Andhra Pradesh,Nellore,Salaried,R2,ST01,CT25,524225,07-02-1997,24-09-2018,1,1,0,0,0,0,0yrs 2mon,0,53612,93612,59.82,17,0,0
64,19639,South,Andhra Pradesh,Nellore,Unknown,R2,ST01,CT25,524225,20-09-1998,23-10-2018,1,1,0,0,0,0,0yrs 0mon,0,55259,76351,73.35,0,0,1
64,22959,South,Andhra Pradesh,Nellore,Self employed,R2,ST01,CT25,524225,23-02-1984,23-10-2018,1,1,0,0,0,0,2yrs 1mon,2,55259,80017,69.99,601,0,0
64,693,South,Karnataka,Bangalore,Salaried,R2,ST12,CT10,560034,01-01-1961,30-08-2018,1,1,0,0,0,0,1yrs 0mon,0,42394,69066,62.26,825,0,0
64,6669,South,Karnataka,Bangalore,Self employed,R2,ST12,CT10,560034,01-08-1990,27-10-2018,1,1,0,0,0,0,0yrs 0mon,0,47999,72182,69.27,0,0,1
64,11703,South,Karnataka,Bangalore,Self employed,R2,ST12,CT10,560034,01-01-1981,25-10-2018,1,1,0,0,0,0,11yrs 11mon,0,64369,75620,89.92,389,0,1
64,19657,South,Karnataka,Bangalore,Self employed,R2,ST12,CT10,560034,01-01-1981,10-10-2018,1,1,0,0,0,0,2yrs 0mon,0,63913,74470,87.28,758,1,0
64,1051,South,Karnataka,Mysore,Self employed,R2,ST12,CT19,570028,31-05-1995,27-09-2018,1,1,0,0,0,0,0yrs 0mon,0,56713,71265,82.09,0,0,0
64,9151,South,Karnataka,Mysore,Self employed,R2,ST12,CT19,570028,01-01-1973,11-08-2018,1,1,0,0,0,0,0yrs 0mon,0,44763,62482,74.9,0,0,0
64,9530,South,Karnataka,Mysore,Salaried,R2,ST12,CT19,570028,04-04-1991,17-08-2018,1,1,0,0,0,0,1yrs 6mon,0,44394,64020,70.29,753,0,0
64,11883,South,Karnataka,Mysore,Self employed,R2,ST12,CT19,570028,16-07-1973,25-10-2018,1,1,0,0,0,0,7yrs 5mon,2,63947,75669,85.9,323,1,1
64,17220,South,Karnataka,Mysore,Self employed,R2,ST12,CT19,570028,01-01-1993,19-09-2018,1,1,0,0,0,0,0yrs 0mon,0,35139,80207,46.13,0,0,0
64,22357,South,Karnataka,Mysore,Self employed,R2,ST12,CT19,570028,01-01-1989,30-10-2018,1,1,0,0,0,0,1yrs 0mon,0,60947,76941,80.58,819,0,0
